,Description,total_sales,total_revenue
0,  DOORMAT UNION JACK GUNS AND ROSES,167,1071.25
1, 3 STRIPEY MICE FELTCRAFT,662,1241.1000000000017
2, 4 PURPLE FLOCK DINNER CANDLES,324,495.16000000000037
3, 50'S CHRISTMAS GIFT BAG LARGE,1885,2272.25
4, ANIMAL STICKERS,385,80.85000000000001
5, BLACK PIRATE TREASURE CHEST,45,74.24999999999999
6, BROWN  PIRATE TREASURE CHEST ,36,59.399999999999984
7, Bank Charges,2,30.0
8, CAMPHOR WOOD PORTOBELLO MUSHROOM,43,53.75
9, CHERRY BLOSSOM  DECORATIVE FLASK,308,1068.6
10, DOLLY GIRL BEAKER,2394,2754.5
11, FAIRY CAKE CANDLES,153,202.05
12, FLAMINGO LIGHTS,359,1523.8499999999997
13, HOME SWEET HOME  BLACKBOARD,117,722.31
14, I LOVE LONDON MINI BACKPACK,359,1449.85
15, I LOVE LONDON MINI RUCKSACK,1,4.15
16, IVORY PAPER CUP CAKE CASES ,1146,521.0999999999999
17, LARGE SKULL WINDMILL,8,16.8
18, NEW BAROQUE BLACK BOXES,6,76.5
19, NINE DRAWER OFFICE TIDY,54,777.9000000000001
20, OVAL WALL MIRROR DIAMANTE ,140,1239.050000000001
21, PAINT YOUR OWN CANVAS SET,480,724.7999999999997
22, PEACE WOODEN BLOCK LETTERS,133,917.1500000000002
23, RED SPOT GIFT BAG LARGE,1686,2023.5
24, RED/WHITE DOT MINI CASES,478,3528.1800000000026
25, RIDGED GLASS T-LIGHT HOLDER,940,531.8000000000001
26, SET 2 TEA TOWELS I LOVE LONDON ,3511,9726.84999999999
27, SET Of 6 SOLDIER SKITTLES,16,60.0
28, SILVER CHERRY LIGHTS,264,1594.8000000000002
29, SILVER T-LIGHT SETTING,37,240.15
30, SPACEBOY BABY GIFT SET,449,7048.549999999982
31, STAR  T-LIGHT HOLDER ,20,28.999999999999996
32, TOADSTOOL BEDSIDE LIGHT ,2,17.9
33, TRELLIS COAT RACK,217,1016.550000000001
34, VINTAGE DESIGN GIFT TAGS,244,207.39999999999995
35, WHITE BAMBOO RIBS LAMPSHADE,210,148.26
36, WHITE CHERRY LIGHTS,1986,11697.299999999997
37,10 COLOUR SPACEBOY PEN,11892,9878.099999999957
38,11 PC CERAMIC TEA SET POLKADOT,3,14.850000000000001
39,12 ASS ZINC CHRISTMAS DECORATIONS,429,900.9000000000005
40,12 COLOURED PARTY BALLOONS,4157,2637.85
41,12 DAISY PEGS IN WOOD BOX,895,1476.7499999999984
42,12 EGG HOUSE PAINTED WOOD,475,5176.67
43,12 HANGING EGGS HAND PAINTED,40,83.2
44,12 IVORY ROSE PEG PLACE SETTINGS,2377,2882.33
45,12 MESSAGE CARDS WITH ENVELOPES,2960,4716.000000000011
46,12 MINI TOADSTOOL PEGS,465,581.25
47,12 PENCIL SMALL TUBE WOODLAND,9091,5776.550000000017
48,12 PENCILS SMALL TUBE POSY,518,336.6999999999999
49,12 PENCILS SMALL TUBE RED RETROSPOT,9493,6111.650000000012
50,12 PENCILS SMALL TUBE RED SPOTTY,7997,4998.049999999999
51,12 PENCILS SMALL TUBE SKULL,12699,8049.150000000017
52,12 PENCILS TALL TUBE POSY,5821,1887.2900000000027
53,12 PENCILS TALL TUBE RED RETROSPOT,3807,3229.7099999999896
54,12 PENCILS TALL TUBE RED SPOTTY,2239,1878.1900000000032
55,12 PENCILS TALL TUBE SKULLS,4601,3899.9299999999835
56,12 PENCILS TALL TUBE WOODLAND,4431,3691.469999999978
57,12 PINK HEN+CHICKS IN BASKET,90,229.50000000000006
58,12 PINK ROSE PEG PLACE SETTINGS,1458,1733.5800000000002
59,12 RED ROSE PEG PLACE SETTINGS,1154,1433.38
60,15 PINK FLUFFY CHICKS IN BOX,29,85.55000000000003
61,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,18618.74999999997
62,16 PC CUTLERY SET PANTRY DESIGN,4,63.8
63,16 PIECE CUTLERY SET PANTRY DESIGN,210,3018.300000000002
64,18PC WOODEN CUTLERY SET DISPOSABLE,503,595.15
65,2 DAISIES HAIR COMB,18,53.10000000000001
66,2 PICTURE BOOK EGGS EASTER BUNNY,718,732.5
67,2 PICTURE BOOK EGGS EASTER CHICKS,718,732.5
